"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","FREQ.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"10056332",9,"Frequency Version A","ALLOW","TUCK","Study1","U",2849,"0",2161,"",0,0
"w10005012",9,"Frequency Version A","ALLOW","TUCK","Study1","U",4941,"20",7074,"me",0,0
"w10007676",9,"Frequency Version A","ALLOW","TUCK","Study1","U",2958,"0",10470,"TRUST",44.444444444444,0
"w10008769",9,"Frequency Version A","ALLOW","TUCK","Study1","U",14665,"0",8940,"PERMISSION",0,0
"w10010991_apc",9,"Frequency Version A","ALLOW","TUCK","Study1","U",4029,"0",22104,"consent",18.181818181818,0
"w10017318_jw",9,"Frequency Version A","ALLOW","TUCK","Study1","U",19903,"41",1175,"",0,0
"w10051017_dg",9,"Frequency Version A","ALLOW","TUCK","Study1","U",3912,"20",1920,"",0,0
"w215680_oa",9,"Frequency Version A","ALLOW","TUCK","Study1","U",9419,"1",6443,"permission",0,0
"w726337",9,"Frequency Version A","ALLOW","TUCK","Study1","U",9120,"75",3124,"go",0,0
"w997109",9,"Frequency Version A","ALLOW","TUCK","Study1","U",11971,"55",10102,"Permission ",0,0
"10056332",9,"Frequency Version A","ARCHITECTURE","DESIGN","Study1","S",3501,"100",16625,"",0,0
"w10005012",9,"Frequency Version A","ARCHITECTURE","DESIGN","Study1","S",4622,"100",6178,"design",100,100
"w10007676",9,"Frequency Version A","ARCHITECTURE","DESIGN","Study1","S",5165,"70",3816,"DESIGN",100,100
"w10008769",9,"Frequency Version A","ARCHITECTURE","DESIGN","Study1","S",4494,"90",3004,"DESIGN",100,100
"w10010991_apc",9,"Frequency Version A","ARCHITECTURE","DESIGN","Study1","S",42263,"100",3814,"design",100,100
"w10017318_jw",9,"Frequency Version A","ARCHITECTURE","DESIGN","Study1","S",38632,"74",6384,"",0,0
"w10051017_dg",9,"Frequency Version A","ARCHITECTURE","DESIGN","Study1","S",2591,"80",3642,"design",100,100
"w215680_oa",9,"Frequency Version A","ARCHITECTURE","DESIGN","Study1","S",3437,"100",4542,"design",100,100
"w726337",9,"Frequency Version A","ARCHITECTURE","DESIGN","Study1","S",3104,"80",4372,"contractor",12.5,0
"w997109",9,"Frequency Version A","ARCHITECTURE","DESIGN","Study1","S",12830,"99",8453,"Design ",100,100
"10056332",9,"Frequency Version A","ART","LION","Study1","U",2014,"0",4597,"",0,0
"w10005012",9,"Frequency Version A","ART","LION","Study1","U",971,"75",10129,"me",0,0
"w10007676",9,"Frequency Version A","ART","LION","Study1","U",2552,"0",6133,"POTTERY",18.181818181818,0
"w10008769",9,"Frequency Version A","ART","LION","Study1","U",3092,"0",2809,"LION",100,100
"w10010991_apc",9,"Frequency Version A","ART","LION","Study1","U",6115,"10",8709,"lion",100,100
"w10017318_jw",9,"Frequency Version A","ART","LION","Study1","U",5771,"45",1433,"",0,0
"w10051017_dg",9,"Frequency Version A","ART","LION","Study1","U",4180,"10",3451,"lion",100,100
"w215680_oa",9,"Frequency Version A","ART","LION","Study1","U",4997,"10",4224,"flowers",36.363636363636,0
"w726337",9,"Frequency Version A","ART","LION","Study1","U",5901,"75",4845,"king",50,0
"w997109",9,"Frequency Version A","ART","LION","Study1","U",13903,"3",14247,"Painting ",33.333333333333,0
"10056332",9,"Frequency Version A","ARTERY","BRONZE","Study1","U",3036,"0",2424,"",0,0
