"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Study.RT","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"10002036",1,"Read Version A","ALLOW","TUCK","Study1","U",3829,1177,"",0,0
"10044784",1,"Read Version A","ALLOW","TUCK","Study1","U",1809,6405,"",0,0
"w10005959_MCD",1,"Read Version A","ALLOW","TUCK","Study1","U",3166,3858,"",0,0
"w10020569_kll",1,"Read Version A","ALLOW","TUCK","Study1","U",6107,3086,"",0,0
"w10057719_awt",1,"Read Version A","ALLOW","TUCK","Study1","U",764,7961,"tuck",100,100
"w214961B.A.C",1,"Read Version A","ALLOW","TUCK","Study1","U",809,6623,"permit",20,0
"w950844",1,"Read Version A","ALLOW","TUCK","Study1","U",2393,46673,"permit",20,0
"w958053",1,"Read Version A","ALLOW","TUCK","Study1","U",2541,84428,"expect",20,0
"w990145ANH",1,"Read Version A","ALLOW","TUCK","Study1","U",2375,1035,"",0,0
"W992800",1,"Read Version A","ALLOW","TUCK","Study1","U",2274,6112,"Leave",0,0
"10002036",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1348,5129,"tall",0,0
"10044784",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1860,5629,"design",100,100
"w10005959_MCD",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",2166,13080,"design",100,100
"w10020569_kll",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",8534,4682,"Design",100,100
"w10057719_awt",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1160,9198,"design",100,100
"w214961B.A.C",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",775,910,"",0,0
"w950844",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1341,5766,"building",28.571428571429,0
"w958053",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",6277,2033,"",0,0
"w990145ANH",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1534,1495,"",0,0
"W992800",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",2658,4702,"Building ",28.571428571429,0
"10002036",1,"Read Version A","ART","LION","Study1","U",1445,1167,"",0,0
"10044784",1,"Read Version A","ART","LION","Study1","U",918,6969,"",0,0
"w10005959_MCD",1,"Read Version A","ART","LION","Study1","U",3415,8406,"Part",0,0
"w10020569_kll",1,"Read Version A","ART","LION","Study1","U",27852,12022,"Lion",100,100
"w10057719_awt",1,"Read Version A","ART","LION","Study1","U",1145,12125,"",0,0
"w214961B.A.C",1,"Read Version A","ART","LION","Study1","U",352,4770,"work",25,0
"w950844",1,"Read Version A","ART","LION","Study1","U",21355,6360,"paint",44.444444444444,0
"w958053",1,"Read Version A","ART","LION","Study1","U",819,5213,"painting",33.333333333333,0
"w990145ANH",1,"Read Version A","ART","LION","Study1","U",1927,2371,"",0,0
"W992800",1,"Read Version A","ART","LION","Study1","U",1145,8677,"Painting ",33.333333333333,0
"10002036",1,"Read Version A","ARTERY","BRONZE","Study1","U",1458,1809,"",0,0
"10044784",1,"Read Version A","ARTERY","BRONZE","Study1","U",1233,5126,"lung",20,0
"w10005959_MCD",1,"Read Version A","ARTERY","BRONZE","Study1","U",6621,5786,"",0,0
"w10020569_kll",1,"Read Version A","ARTERY","BRONZE","Study1","U",8376,38074,"Brown",72.727272727273,0
"w10057719_awt",1,"Read Version A","ARTERY","BRONZE","Study1","U",911,1295,"",0,0
"w214961B.A.C",1,"Read Version A","ARTERY","BRONZE","Study1","U",2153,709,"",0,0
"w950844",1,"Read Version A","ARTERY","BRONZE","Study1","U",2674,8270,"battery ",30.769230769231,0
"w958053",1,"Read Version A","ARTERY","BRONZE","Study1","U",72613,3399,"heart",18.181818181818,0
"w990145ANH",1,"Read Version A","ARTERY","BRONZE","Study1","U",1422,6492,"bronze",100,100
"W992800",1,"Read Version A","ARTERY","BRONZE","Study1","U",4317,5508,"Bronze",100,100
"10002036",1,"Read Version A","BABY","CHILD","Study1","S",2110,1014,"",0,0
"10044784",1,"Read Version A","BABY","CHILD","Study1","S",832,1950,"",0,0
"w10005959_MCD",1,"Read Version A","BABY","CHILD","Study1","S",1632,4705,"child",100,100
"w10020569_kll",1,"Read Version A","BABY","CHILD","Study1","S",6887,21893,"Sitter",18.181818181818,0
"w10057719_awt",1,"Read Version A","BABY","CHILD","Study1","S",1162,13863,"child",100,100
"w214961B.A.C",1,"Read Version A","BABY","CHILD","Study1","S",736,4245,"adult",20,0
"w950844",1,"Read Version A","BABY","CHILD","Study1","S",1298,7169,"Child",100,100
"w958053",1,"Read Version A","BABY","CHILD","Study1","S",104720,7110,"powder",18.181818181818,0
"w990145ANH",1,"Read Version A","BABY","CHILD","Study1","S",761,1483,"",0,0
"W992800",1,"Read Version A","BABY","CHILD","Study1","S",2608,12481,"Child",100,100
"10002036",1,"Read Version A","BALL","RACKET","Study1","B",9782,2025,"",0,0
"10044784",1,"Read Version A","BALL","RACKET","Study1","B",2785,2980,"eight",36.363636363636,0
"w10005959_MCD",1,"Read Version A","BALL","RACKET","Study1","B",1269,7462,"baseball",28.571428571429,0
"w10020569_kll",1,"Read Version A","BALL","RACKET","Study1","B",6836,17055,"Racket",100,100
"w10057719_awt",1,"Read Version A","BALL","RACKET","Study1","B",1518,7263,"racket",100,100
"w214961B.A.C",1,"Read Version A","BALL","RACKET","Study1","B",769,22528,"court",36.363636363636,0
"w950844",1,"Read Version A","BALL","RACKET","Study1","B",1385,7452,"Player",33.333333333333,0
"w958053",1,"Read Version A","BALL","RACKET","Study1","B",2346,4895,"basket",66.666666666667,0
"w990145ANH",1,"Read Version A","BALL","RACKET","Study1","B",1335,3807,"",0,0
"W992800",1,"Read Version A","BALL","RACKET","Study1","B",2341,8174,"Catch",36.363636363636,0
"10002036",1,"Read Version A","BATHROOM","TOILET","Study1","S",1770,1686,"",0,0
"10044784",1,"Read Version A","BATHROOM","TOILET","Study1","S",860,4215,"bedroom",15.384615384615,0
"w10005959_MCD",1,"Read Version A","BATHROOM","TOILET","Study1","S",865,6994,"bedroom",15.384615384615,0
"w10020569_kll",1,"Read Version A","BATHROOM","TOILET","Study1","S",9904,8239,"Toilet ",100,100
"w10057719_awt",1,"Read Version A","BATHROOM","TOILET","Study1","S",1054,18372,"toilet",100,100
"w214961B.A.C",1,"Read Version A","BATHROOM","TOILET","Study1","S",750,10933,"restroom",28.571428571429,0
