"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","VC.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"214402",1,"Version A","ALLOW","TUCK","Study1","U",2414,"3",977,"",0,0
"960689",1,"Version A","ALLOW","TUCK","Study1","U",2584,"3",303,"",0,0
"w10008086",1,"Version A","ALLOW","TUCK","Study1","U",5855,"3",1571,"",0,0
"w10015958",1,"Version A","ALLOW","TUCK","Study1","U",2851,"3",851,"",0,0
"w10020847",1,"Version A","ALLOW","TUCK","Study1","U",5046,"3",4686,"MONEY",0,0
"w10033223_tag",1,"Version A","ALLOW","TUCK","Study1","U",4636,"3",2430,"",0,0
"W10061905",1,"Version A","ALLOW","TUCK","Study1","U",97318,"3",2464,"",0,0
"w927437",1,"Version A","ALLOW","TUCK","Study1","U",3338,"3",884,"",0,0
"214402",1,"Version A","ARCHITECTURE","DESIGN","Study1","S",5562,"7",3032,"",0,0
"960689",1,"Version A","ARCHITECTURE","DESIGN","Study1","S",6379,"7",383,"",0,0
"w10008086",1,"Version A","ARCHITECTURE","DESIGN","Study1","S",6234,"7",2279,"rocks",18.181818181818,0
"w10015958",1,"Version A","ARCHITECTURE","DESIGN","Study1","S",6432,"7",2391,"",0,0
"w10020847",1,"Version A","ARCHITECTURE","DESIGN","Study1","S",6550,"7",2898,"ROCK",0,0
"w10033223_tag",1,"Version A","ARCHITECTURE","DESIGN","Study1","S",7807,"7",9459,"",0,0
"W10061905",1,"Version A","ARCHITECTURE","DESIGN","Study1","S",8916,"7",388,"",0,0
"w927437",1,"Version A","ARCHITECTURE","DESIGN","Study1","S",18022,"7",7599,"",0,0
"214402",1,"Version A","ART","LION","Study1","U",2176,"3",1488,"",0,0
"960689",1,"Version A","ART","LION","Study1","U",3228,"3",251,"",0,0
"w10008086",1,"Version A","ART","LION","Study1","U",1889,"3",1250,"",0,0
"w10015958",1,"Version A","ART","LION","Study1","U",5194,"3",1163,"",0,0
"w10020847",1,"Version A","ART","LION","Study1","U",4215,"3",3957,"MAKER",0,0
"w10033223_tag",1,"Version A","ART","LION","Study1","U",3878,"3",9352,"lion",100,100
"W10061905",1,"Version A","ART","LION","Study1","U",4842,"3",700,"",0,0
"w927437",1,"Version A","ART","LION","Study1","U",5212,"3",18783,"",0,0
"214402",1,"Version A","ARTERY","BRONZE","Study1","U",4448,"4",4760,"vein",20,0
"960689",1,"Version A","ARTERY","BRONZE","Study1","U",4048,"4",2340,"",0,0
"w10008086",1,"Version A","ARTERY","BRONZE","Study1","U",9821,"4",140861,"",0,0
"w10015958",1,"Version A","ARTERY","BRONZE","Study1","U",3698,"4",4423,"",0,0
"w10020847",1,"Version A","ARTERY","BRONZE","Study1","U",4970,"4",3047,"HEART",18.181818181818,0
"w10033223_tag",1,"Version A","ARTERY","BRONZE","Study1","U",10783,"4",3298,"vein",20,0
"W10061905",1,"Version A","ARTERY","BRONZE","Study1","U",10065,"4",3164,"",0,0
"w927437",1,"Version A","ARTERY","BRONZE","Study1","U",46530,"4",5468,"vein",20,0
"214402",1,"Version A","BABY","CHILD","Study1","S",2424,"2",2587,"",0,0
"960689",1,"Version A","BABY","CHILD","Study1","S",3707,"2",435,"",0,0
"w10008086",1,"Version A","BABY","CHILD","Study1","S",2508,"2",958,"",0,0
"w10015958",1,"Version A","BABY","CHILD","Study1","S",3841,"2",787,"",0,0
"w10020847",1,"Version A","BABY","CHILD","Study1","S",3561,"2",3970,"doll",22.222222222222,0
"w10033223_tag",1,"Version A","BABY","CHILD","Study1","S",4291,"2",1512,"",0,0
"W10061905",1,"Version A","BABY","CHILD","Study1","S",15945,"2",1332,"",0,0
"w927437",1,"Version A","BABY","CHILD","Study1","S",5836,"2",40969,"",0,0
"214402",1,"Version A","BALL","RACKET","Study1","B",3171,"3",3618,"",0,0
"960689",1,"Version A","BALL","RACKET","Study1","B",4193,"3",294,"",0,0
"w10008086",1,"Version A","BALL","RACKET","Study1","B",2940,"3",242115,"catch",36.363636363636,0
"w10015958",1,"Version A","BALL","RACKET","Study1","B",4526,"3",2464,"",0,0
"w10020847",1,"Version A","BALL","RACKET","Study1","B",16032,"3",3517,"ROUND",18.181818181818,0
"w10033223_tag",1,"Version A","BALL","RACKET","Study1","B",5125,"3",5213,"tennis",16.666666666667,0
"W10061905",1,"Version A","BALL","RACKET","Study1","B",5957,"3",892,"",0,0
"w927437",1,"Version A","BALL","RACKET","Study1","B",7518,"3",631,"",0,0
"214402",1,"Version A","BATHROOM","TOILET","Study1","S",3535,"6",4118,"toilet",100,100
"960689",1,"Version A","BATHROOM","TOILET","Study1","S",17718,"6",3238,"",0,0
"w10008086",1,"Version A","BATHROOM","TOILET","Study1","S",6293,"6",2439,"sink",20,0
"w10015958",1,"Version A","BATHROOM","TOILET","Study1","S",3653,"6",609,"",0,0
"w10020847",1,"Version A","BATHROOM","TOILET","Study1","S",7518,"6",4691,"SMELLS",16.666666666667,0
"w10033223_tag",1,"Version A","BATHROOM","TOILET","Study1","S",7961,"6",4195,"toilet",100,100
"W10061905",1,"Version A","BATHROOM","TOILET","Study1","S",9881,"7",323,"",0,0
"w927437",1,"Version A","BATHROOM","TOILET","Study1","S",88881,"6",4563,"Toliet",83.333333333333,100
"214402",1,"Version A","BEGIN","END","Study1","S",2297,"3",1680,"",0,0
"960689",1,"Version A","BEGIN","END","Study1","S",3736,"3",1339,"",0,0
"w10008086",1,"Version A","BEGIN","END","Study1","S",2217,"3",709,"",0,0
"w10015958",1,"Version A","BEGIN","END","Study1","S",2191,"3",809,"",0,0
"w10020847",1,"Version A","BEGIN","END","Study1","S",3524,"3",6943,"Hall",0,0
"w10033223_tag",1,"Version A","BEGIN","END","Study1","S",3086,"3",3122,"end",100,100
"W10061905",1,"Version A","BEGIN","END","Study1","S",6228,"3",779,"",0,0
"w927437",1,"Version A","BEGIN","END","Study1","S",7271,"3",2268,"start",0,0
"214402",1,"Version A","BITTER","COLD","Study1","F",3627,"4",2557,"",0,0
"960689",1,"Version A","BITTER","COLD","Study1","F",1412,NA,482,"",0,0
"w10008086",1,"Version A","BITTER","COLD","Study1","F",2771,"3",9816,"",0,0
"w10015958",1,"Version A","BITTER","COLD","Study1","F",2093,"3",6150,"sweet",0,0
"w10020847",1,"Version A","BITTER","COLD","Study1","F",3615,"3",2632,"SWEET",0,0
"w10033223_tag",1,"Version A","BITTER","COLD","Study1","F",4293,"3",3795,"sour",25,0
"W10061905",1,"Version A","BITTER","COLD","Study1","F",5378,"3",476,"",0,0
"w927437",1,"Version A","BITTER","COLD","Study1","F",3310,"3",287163,"sour",25,0
"214402",1,"Version A","BLOW","WIND","Study1","S",2040,"2",1063,"",0,0
"960689",1,"Version A","BLOW","WIND","Study1","S",5244,"2",283,"",0,0
"w10008086",1,"Version A","BLOW","WIND","Study1","S",2009,"2",3043,"kiss",25,0
"w10015958",1,"Version A","BLOW","WIND","Study1","S",3213,"2",1453,"",0,0
"w10020847",1,"Version A","BLOW","WIND","Study1","S",3605,"2",2435,"UP",0,0
"w10033223_tag",1,"Version A","BLOW","WIND","Study1","S",7018,"2",1548,"",0,0
"W10061905",1,"Version A","BLOW","WIND","Study1","S",6326,"2",3504,"",0,0
"w927437",1,"Version A","BLOW","WIND","Study1","S",4080,"2",879,"",0,0
"214402",1,"Version A","BRIDGE","WATER","Study1","F",2861,"5",2383,"",0,0
"960689",1,"Version A","BRIDGE","WATER","Study1","F",3305,"4",244,"",0,0
"w10008086",1,"Version A","BRIDGE","WATER","Study1","F",2267,"4",962,"",0,0
"w10015958",1,"Version A","BRIDGE","WATER","Study1","F",2992,"4",650,"",0,0
"w10020847",1,"Version A","BRIDGE","WATER","Study1","F",3602,"4",2955,"WALL",44.444444444444,0
"w10033223_tag",1,"Version A","BRIDGE","WATER","Study1","F",11990,"4",2027,"",0,0
"W10061905",1,"Version A","BRIDGE","WATER","Study1","F",10012,"4",237,"",0,0
"w927437",1,"Version A","BRIDGE","WATER","Study1","F",5906,"4",3788,"tunnel",36.363636363636,0
"214402",1,"Version A","BUG","WASP","Study1","B",1905,"2",4433,"wasp",100,100
"960689",1,"Version A","BUG","WASP","Study1","B",4720,"2",383,"",0,0
"w10008086",1,"Version A","BUG","WASP","Study1","B",3668,"2",2266,"life",0,0
"w10015958",1,"Version A","BUG","WASP","Study1","B",2508,"2",1223,"",0,0
"w10020847",1,"Version A","BUG","WASP","Study1","B",3299,"2",3569,"LIFE",0,0
"w10033223_tag",1,"Version A","BUG","WASP","Study1","B",4550,"2",4835,"fly",0,0
"W10061905",1,"Version A","BUG","WASP","Study1","B",44939,"2",516,"",0,0
"w927437",1,"Version A","BUG","WASP","Study1","B",3189,"2",1726,"",0,0
"214402",1,"Version A","CASH","WOULD","Study1","U",3033,"3",7296,"money",20,0
"960689",1,"Version A","CASH","WOULD","Study1","U",3632,"3",321,"",0,0
"w10008086",1,"Version A","CASH","WOULD","Study1","U",3106,"3",2135,"money",20,0
"w10015958",1,"Version A","CASH","WOULD","Study1","U",3173,"3",709,"",0,0
"w10020847",1,"Version A","CASH","WOULD","Study1","U",2864,"3",2937,"MONEY",20,0
"w10033223_tag",1,"Version A","CASH","WOULD","Study1","U",5053,"3",2472,"",0,0
"W10061905",1,"Version A","CASH","WOULD","Study1","U",5514,"3",218,"",0,0
"w927437",1,"Version A","CASH","WOULD","Study1","U",4052,"3",5583,"credit",18.181818181818,0
"214402",1,"Version A","CHISEL","HAMMER","Study1","F",3850,"4",1174,"",0,0
"960689",1,"Version A","CHISEL","HAMMER","Study1","F",6531,"4",322,"",0,0
"w10008086",1,"Version A","CHISEL","HAMMER","Study1","F",4099,"4",3925,"",0,0
"w10015958",1,"Version A","CHISEL","HAMMER","Study1","F",8190,"4",876,"",0,0
"w10020847",1,"Version A","CHISEL","HAMMER","Study1","F",6505,"4",5778,"CHAIR",54.545454545455,0
"w10033223_tag",1,"Version A","CHISEL","HAMMER","Study1","F",5058,"4",4468,"hammer",100,100
"W10061905",1,"Version A","CHISEL","HAMMER","Study1","F",7765,"4",693,"",0,0
