"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","JOL.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"w10002601_rol",5,"JOL Version A","ALLOW","TUCK","Study1","U",7329,10,1785,"",0,0
"w10034240_jdf",5,"JOL Version A","ALLOW","TUCK","Study1","U",4035,NA,4517,"FOLLOW",0,0
"w10039094_sr",5,"JOL Version A","ALLOW","TUCK","Study1","U",3891,5,2443,"",0,0
"w10061360",5,"JOL Version A","ALLOW","TUCK","Study1","U",3113,35,12355,"tuck",100,100
"w10062431_yh",5,"JOL Version A","ALLOW","TUCK","Study1","U",5919,20,1147,"",0,0
"W909678andDP",5,"JOL Version A","ALLOW","TUCK","Study1","U",5524,10,3043,"accept",20,0
"w987277_mcl",5,"JOL Version A","ALLOW","TUCK","Study1","U",1543,56,1649,"",0,0
"w10002601_rol",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",5210,87,3574,"design",100,100
"w10034240_jdf",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",2855,60,2719,"DESIGN",100,100
"w10039094_sr",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",5473,80,7069,"building",28.571428571429,0
"w10061360",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",3871,85,74859,"design",100,100
"w10062431_yh",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",2803,100,4212,"design",100,100
"W909678andDP",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",40585,75,13509,"builder",30.769230769231,0
"w987277_mcl",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",13148,78,3041,"building",28.571428571429,0
"w10002601_rol",5,"JOL Version A","ART","LION","Study1","U",3867,1,1622,"",0,0
"w10034240_jdf",5,"JOL Version A","ART","LION","Study1","U",2192,10,2725,"LION",100,100
"w10039094_sr",5,"JOL Version A","ART","LION","Study1","U",2601,1,4374,"",0,0
"w10061360",5,"JOL Version A","ART","LION","Study1","U",16025,20,11764,"lion",100,100
"w10062431_yh",5,"JOL Version A","ART","LION","Study1","U",3339,50,2668,"lion",100,100
"W909678andDP",5,"JOL Version A","ART","LION","Study1","U",7091,40,3214,"lion",100,100
"w987277_mcl",5,"JOL Version A","ART","LION","Study1","U",2499,22,3270,"painting",33.333333333333,0
"w10002601_rol",5,"JOL Version A","ARTERY","BRONZE","Study1","U",4140,0,6241,"vein",20,0
"w10034240_jdf",5,"JOL Version A","ARTERY","BRONZE","Study1","U",2267,10,3977,"VEIN",20,0
"w10039094_sr",5,"JOL Version A","ARTERY","BRONZE","Study1","U",2540,0,3190,"heart",18.181818181818,0
"w10061360",5,"JOL Version A","ARTERY","BRONZE","Study1","U",3825,35,10275,"bronze",100,100
"w10062431_yh",5,"JOL Version A","ARTERY","BRONZE","Study1","U",5510,7,1061,"",0,0
"W909678andDP",5,"JOL Version A","ARTERY","BRONZE","Study1","U",3499,0,2710,"bronze",100,100
"w987277_mcl",5,"JOL Version A","ARTERY","BRONZE","Study1","U",3072,21,3307,"vein",20,0
"w10002601_rol",5,"JOL Version A","BABY","CHILD","Study1","S",6133,97,5890,"young",0,0
"w10034240_jdf",5,"JOL Version A","BABY","CHILD","Study1","S",2953,90,1936,"CHILD",100,100
"w10039094_sr",5,"JOL Version A","BABY","CHILD","Study1","S",5269,60,5577,"boy",0,0
"w10061360",5,"JOL Version A","BABY","CHILD","Study1","S",7747,65,1057,"",0,0
"w10062431_yh",5,"JOL Version A","BABY","CHILD","Study1","S",1937,80,2787,"cry",25,0
"W909678andDP",5,"JOL Version A","BABY","CHILD","Study1","S",7795,85,5643,"chi;d",80,100
"w987277_mcl",5,"JOL Version A","BABY","CHILD","Study1","S",1387,77,3545,"young",0,0
"w10002601_rol",5,"JOL Version A","BALL","RACKET","Study1","B",5358,25,7831,"",0,0
"w10034240_jdf",5,"JOL Version A","BALL","RACKET","Study1","B",1524,60,2274,"PARK",40,0
"w10039094_sr",5,"JOL Version A","BALL","RACKET","Study1","B",4644,70,29652,"throw",18.181818181818,0
"w10061360",5,"JOL Version A","BALL","RACKET","Study1","B",6471,5,10120,"",0,0
"w10062431_yh",5,"JOL Version A","BALL","RACKET","Study1","B",2938,100,5559,"base",40,0
"W909678andDP",5,"JOL Version A","BALL","RACKET","Study1","B",3240,20,3069,"round",18.181818181818,0
"w987277_mcl",5,"JOL Version A","BALL","RACKET","Study1","B",3733,95,3647,"soccer",33.333333333333,0
"w10002601_rol",5,"JOL Version A","BATHROOM","TOILET","Study1","S",4106,100,5112,"toilet",100,100
"w10034240_jdf",5,"JOL Version A","BATHROOM","TOILET","Study1","S",2566,80,3344,"TOILET",100,100
"w10039094_sr",5,"JOL Version A","BATHROOM","TOILET","Study1","S",4139,80,3388,"toilet",100,100
"w10061360",5,"JOL Version A","BATHROOM","TOILET","Study1","S",5831,90,6321,"toilet",100,100
"w10062431_yh",5,"JOL Version A","BATHROOM","TOILET","Study1","S",1904,100,2439,"toilet",100,100
"W909678andDP",5,"JOL Version A","BATHROOM","TOILET","Study1","S",8984,85,5158,"toliet",83.333333333333,100
"w987277_mcl",5,"JOL Version A","BATHROOM","TOILET","Study1","S",2114,48,4567,"toilet ",100,100
