"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Study.RT","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"599b3695d25b9e0001826d5a",1,"Relational Version A","ALLOW","TUCK","Study1","U",3131,5695,"Enter",22.222222222222,0
"5bc28e3f7156740001406069",1,"Relational Version A","ALLOW","TUCK","Study1","U",720,11983,"",0,0
"5e5d8d190272740aa1029258",1,"Relational Version A","ALLOW","TUCK","Study1","U",1549,21629,"tuck",100,100
"5eac2099b273a00513d31d9f",1,"Relational Version A","ALLOW","TUCK","Study1","U",2586,89101,"TUCK",100,100
"5f04d52bebb486153390a90a",1,"Relational Version A","ALLOW","TUCK","Study1","U",777,3964,"",0,0
"955056KB",1,"Read Version A","ALLOW","TUCK","Study1","U",1226,2159,"",0,0
"w10007153_kab",1,"Read Version A","ALLOW","TUCK","Study1","U",540,5226,"follow",0,0
"w10020600_bmm",1,"Read Version A","ALLOW","TUCK","Study1","U",1153,5545,"",0,0
"w10041110MM",1,"Read Version A","ALLOW","TUCK","Study1","U",6253,11952,"tuck",100,100
"w10051535_jp",1,"Read Version A","ALLOW","TUCK","Study1","U",488,27802,"approve",0,0
"w99603AHC",1,"Read Version A","ALLOW","TUCK","Study1","U",2478,1126,"",0,0
"599b3695d25b9e0001826d5a",1,"Relational Version A","ARCHITECTURE","DESIGN","Study1","S",2001,9364,"",0,0
"5bc28e3f7156740001406069",1,"Relational Version A","ARCHITECTURE","DESIGN","Study1","S",1076,5298,"Design",100,100
"5e5d8d190272740aa1029258",1,"Relational Version A","ARCHITECTURE","DESIGN","Study1","S",969,5699,"design",100,100
"5eac2099b273a00513d31d9f",1,"Relational Version A","ARCHITECTURE","DESIGN","Study1","S",1145,19341,"PLAN",20,0
"5f04d52bebb486153390a90a",1,"Relational Version A","ARCHITECTURE","DESIGN","Study1","S",3239,14310,"Design",100,100
"955056KB",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",2999,2586,"design",100,100
"w10007153_kab",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",937,4210,"building",28.571428571429,0
"w10020600_bmm",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1358,3669,"geology",15.384615384615,0
"w10041110MM",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",8548,14940,"design",100,100
"w10051535_jp",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1603,7656,"design",100,100
"w99603AHC",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",2201,3855,"",0,0
"599b3695d25b9e0001826d5a",1,"Relational Version A","ART","LION","Study1","U",2331,2923,"Lion",100,100
"5bc28e3f7156740001406069",1,"Relational Version A","ART","LION","Study1","U",1302,12304,"Painting",33.333333333333,0
"5e5d8d190272740aa1029258",1,"Relational Version A","ART","LION","Study1","U",1518,2663,"lion",100,100
"5eac2099b273a00513d31d9f",1,"Relational Version A","ART","LION","Study1","U",3861,6788,"LION",100,100
"5f04d52bebb486153390a90a",1,"Relational Version A","ART","LION","Study1","U",857,7487,"Lion",100,100
"955056KB",1,"Read Version A","ART","LION","Study1","U",17773,1704,"",0,0
"w10007153_kab",1,"Read Version A","ART","LION","Study1","U",2252,9115,"draw",0,0
"w10020600_bmm",1,"Read Version A","ART","LION","Study1","U",4614,8209,"painter",36.363636363636,0
"w10041110MM",1,"Read Version A","ART","LION","Study1","U",3544,8984,"lion",100,100
"w10051535_jp",1,"Read Version A","ART","LION","Study1","U",411,6992,"design",40,0
