"Trial.ID","Sub.ID","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","JOL.RT","Response.JOL","Response.RT.1","Responses","Response.Accuracy","Answer","Scored"
1,"5f26b501dd983441aaaa41a9",5,"JOL Version A","ALLOW","tuck","Study1","U",4504,"31",16554,"",0,"tuck",0
1,"w10046977_ajg",5,"JOL Version A","ALLOW","tuck","Study1","U",2457,"0",1342,"me",0,"tuck",0
1,"w995669_AML",5,"JOL Version A","ALLOW","tuck","Study1","U",4755,"0",1866,"",0,"tuck",0
1,"w10036134AN",5,"JOL Version A","ALLOW","tuck","Study1","U",2451,"10",1226,"",0,"tuck",0
1,"5f50efe49dd63f29776ce8d6",5,"JOL Version A","ALLOW","tuck","Study1","U",3818,"0",2850,"debt",25,"tuck",0
1,"w10045963_lnp",5,"JOL Version A","ALLOW","tuck","Study1","U",3026,"0",11167,"responsibility",11.111111111111,"tuck",0
1,"5f906d9892b0ac120238830b",5,"JOL Version A","ALLOW","tuck","Study1","U",3475,"0",2138,"deny",0,"tuck",0
1,"w10006036_mlh",5,"JOL Version A","ALLOW","tuck","Study1","U",4644,"0",2353,"",0,"tuck",0
2,"w995669_AML",5,"JOL Version A","ARCHITECTURE","design","Study1","S",2493,"90",5389,"design",100,"design",1
2,"w10045963_lnp",5,"JOL Version A","ARCHITECTURE","design","Study1","S",3505,"50",2130,"design",100,"design",1
2,"5f26b501dd983441aaaa41a9",5,"JOL Version A","ARCHITECTURE","design","Study1","S",7172,"77",3639,"design",100,"design",1
2,"w10006036_mlh",5,"JOL Version A","ARCHITECTURE","design","Study1","S",11758,"20",6926,"designer ",85.714285714286,"design",0
2,"w10046977_ajg",5,"JOL Version A","ARCHITECTURE","design","Study1","S",2896,"99",9970,"build",18.181818181818,"design",0
2,"w10036134AN",5,"JOL Version A","ARCHITECTURE","design","Study1","S",2237,"30",3747,"art",0,"design",0
2,"5f50efe49dd63f29776ce8d6",5,"JOL Version A","ARCHITECTURE","design","Study1","S",3770,"100",3544,"building",28.571428571429,"design",0
2,"5f906d9892b0ac120238830b",5,"JOL Version A","ARCHITECTURE","design","Study1","S",4407,"55",2184,"design",100,"design",1
3,"w995669_AML",5,"JOL Version A","ART","lion","Study1","U",1878,"0",2892,"lion",100,"lion",1
3,"w10046977_ajg",5,"JOL Version A","ART","lion","Study1","U",5915,"34",2117,"lion",100,"lion",1
3,"w10045963_lnp",5,"JOL Version A","ART","lion","Study1","U",2738,"0",10568,"museum",0,"lion",0
3,"5f26b501dd983441aaaa41a9",5,"JOL Version A","ART","lion","Study1","U",4406,"21",5730,"house",22.222222222222,"lion",0
3,"w10036134AN",5,"JOL Version A","ART","lion","Study1","U",4908,"10",1719,"",0,"lion",0
3,"5f906d9892b0ac120238830b",5,"JOL Version A","ART","lion","Study1","U",4468,"0",3534,"picture",18.181818181818,"lion",0
3,"w10006036_mlh",5,"JOL Version A","ART","lion","Study1","U",2731,"0",3054,"",0,"lion",0
3,"5f50efe49dd63f29776ce8d6",5,"JOL Version A","ART","lion","Study1","U",8862,"0",3464,"attack",0,"lion",0
4,"w995669_AML",5,"JOL Version A","ARTERY","bronze","Study1","U",3691,"0",3754,"bronze",100,"bronze",1
4,"w10036134AN",5,"JOL Version A","ARTERY","bronze","Study1","U",2722,"5",1692,"",0,"bronze",0
4,"5f906d9892b0ac120238830b",5,"JOL Version A","ARTERY","bronze","Study1","U",4412,"0",2598,"heart",18.181818181818,"bronze",0
4,"w10045963_lnp",5,"JOL Version A","ARTERY","bronze","Study1","U",2281,"0",2423,"bronze",100,"bronze",1
4,"5f26b501dd983441aaaa41a9",5,"JOL Version A","ARTERY","bronze","Study1","U",3719,"12",13974,"heart",18.181818181818,"bronze",0
4,"5f50efe49dd63f29776ce8d6",5,"JOL Version A","ARTERY","bronze","Study1","U",3795,"0",5100,"blood",36.363636363636,"bronze",0
4,"w10006036_mlh",5,"JOL Version A","ARTERY","bronze","Study1","U",3332,"0",5446,"",0,"bronze",0
4,"w10046977_ajg",5,"JOL Version A","ARTERY","bronze","Study1","U",1769,"0",8942,"liver",18.181818181818,"bronze",0
5,"5f906d9892b0ac120238830b",5,"JOL Version A","BABY","child","Study1","S",4220,"55",2191,"child",100,"child",1
5,"5f26b501dd983441aaaa41a9",5,"JOL Version A","BABY","child","Study1","S",5498,"46",5808,"child",100,"child",1
5,"5f50efe49dd63f29776ce8d6",5,"JOL Version A","BABY","child","Study1","S",3711,"100",4749,"food",22.222222222222,"child",0
5,"w10006036_mlh",5,"JOL Version A","BABY","child","Study1","S",5496,"90",7321,"child",100,"child",1
5,"w10036134AN",5,"JOL Version A","BABY","child","Study1","S",1667,"20",1511,"",0,"child",0
5,"w10046977_ajg",5,"JOL Version A","BABY","child","Study1","S",2993,"67",1843,"child",100,"child",1
5,"w995669_AML",5,"JOL Version A","BABY","child","Study1","S",5065,"15",2192,"child",100,"child",1
