"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","JOL.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"w10010080YS",5,"JOL Version A","ALLOW","TUCK","Study1","U",40503,"3",2683,"",0,0
"w10024584",5,"JOL Version A","ALLOW","TUCK","Study1","U",1027,"0",668,"",0,0
"w10033288",5,"JOL Version A","ALLOW","TUCK","Study1","U",8043,"10",9244,"PERMIT",20,0
"w10042962_jkc",5,"JOL Version A","ALLOW","TUCK","Study1","U",5918,"5",3165,"deny",0,0
"w10048478_tn",5,"JOL Version A","ALLOW","TUCK","Study1","U",13380,"15",14389,"",0,0
"w10049707_slh",5,"JOL Version A","ALLOW","TUCK","Study1","U",2637,"0",4913,"accept",20,0
"w10061353",5,"JOL Version A","ALLOW","TUCK","Study1","U",4635,"10",5698,"",0,0
"w10061432",5,"JOL Version A","ALLOW","TUCK","Study1","U",2436,"0",4262,"let",28.571428571429,0
"w218847JDM",5,"JOL Version A","ALLOW","TUCK","Study1","U",2836,"10",6083,"accept",20,0
"w922820",5,"JOL Version A","ALLOW","TUCK","Study1","U",3380,"0",7518,"stop",25,0
"W970517",5,"JOL Version A","ALLOW","TUCK","Study1","U",6327,"10",6444,"Work",25,0
"w10010080YS",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",7498,"82",6213,"design",100,100
"w10024584",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",22133,"100",4655,"building",28.571428571429,0
"w10033288",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",5381,"10",7363,"DESIGN",100,100
"w10042962_jkc",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",3453,"60",5622,"design",100,100
"w10048478_tn",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",4044,"30",17897,"HOUSE",18.181818181818,0
"w10049707_slh",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",2707,"10",6362,"lion",40,0
"w10061353",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",5957,"70",3501,"DESIGN",100,100
"w10061432",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",2219,"20",3388,"design ",100,100
"w218847JDM",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",5921,"50",2940,"design",100,100
"w922820",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",10026,"35",13356,"disign",83.333333333333,100
"W970517",5,"JOL Version A","ARCHITECTURE","DESIGN","Study1","S",2908,"100",5550,"Design ",100,100
"w10010080YS",5,"JOL Version A","ART","LION","Study1","U",15918,"3",3065,"",0,0
"w10024584",5,"JOL Version A","ART","LION","Study1","U",1110,"0",1734,"",0,0
"w10033288",5,"JOL Version A","ART","LION","Study1","U",3669,"10",3583,"LION",100,100
"w10042962_jkc",5,"JOL Version A","ART","LION","Study1","U",3342,"5",2771,"",0,0
"w10048478_tn",5,"JOL Version A","ART","LION","Study1","U",4820,"89",4910,"CRAFT",0,0
"w10049707_slh",5,"JOL Version A","ART","LION","Study1","U",3121,"10",2227,"lion",100,100
"w10061353",5,"JOL Version A","ART","LION","Study1","U",3667,"20",2776,"LION",100,100
"w10061432",5,"JOL Version A","ART","LION","Study1","U",2651,"5",893,"",0,0
"w218847JDM",5,"JOL Version A","ART","LION","Study1","U",2499,"30",5341,"paint",44.444444444444,0
"w922820",5,"JOL Version A","ART","LION","Study1","U",5681,"15",9206,"store",22.222222222222,0
"W970517",5,"JOL Version A","ART","LION","Study1","U",3949,"25",5383,"Painting",33.333333333333,0
"w10010080YS",5,"JOL Version A","ARTERY","BRONZE","Study1","U",6368,"0",17308,"",0,0
"w10024584",5,"JOL Version A","ARTERY","BRONZE","Study1","U",1385,"0",1525,"",0,0
"w10033288",5,"JOL Version A","ARTERY","BRONZE","Study1","U",5099,"10",19677,"FOOD",20,0
"w10042962_jkc",5,"JOL Version A","ARTERY","BRONZE","Study1","U",9745,"2",3391,"blood",36.363636363636,0
"w10048478_tn",5,"JOL Version A","ARTERY","BRONZE","Study1","U",2046,"32",7856,"VEIN",20,0
"w10049707_slh",5,"JOL Version A","ARTERY","BRONZE","Study1","U",2572,"0",4714,"vein",20,0
"w10061353",5,"JOL Version A","ARTERY","BRONZE","Study1","U",3102,"0",4479,"BRONZE",100,100
"w10061432",5,"JOL Version A","ARTERY","BRONZE","Study1","U",2875,"0",5018,"flow",20,0
"w218847JDM",5,"JOL Version A","ARTERY","BRONZE","Study1","U",3214,"30",8731,"vein",20,0
"w922820",5,"JOL Version A","ARTERY","BRONZE","Study1","U",3097,"0",5278,"blood",36.363636363636,0
"W970517",5,"JOL Version A","ARTERY","BRONZE","Study1","U",3280,"0",3136,"Heart ",18.181818181818,0
"w10010080YS",5,"JOL Version A","BABY","CHILD","Study1","S",16839,"55",6502,"child",100,100
"w10024584",5,"JOL Version A","BABY","CHILD","Study1","S",1900,"100",4557,"child",100,100
"w10033288",5,"JOL Version A","BABY","CHILD","Study1","S",5693,"60",6686,"CHILD",100,100
"w10042962_jkc",5,"JOL Version A","BABY","CHILD","Study1","S",4376,"70",3560,"child",100,100
"w10048478_tn",5,"JOL Version A","BABY","CHILD","Study1","S",3633,"70",1788,"",0,0
"w10049707_slh",5,"JOL Version A","BABY","CHILD","Study1","S",2114,"100",3049,"child",100,100
"w10061353",5,"JOL Version A","BABY","CHILD","Study1","S",4895,"70",3367,"CHILD",100,100
"w10061432",5,"JOL Version A","BABY","CHILD","Study1","S",2507,"100",6699,"infant ",18.181818181818,0
"w218847JDM",5,"JOL Version A","BABY","CHILD","Study1","S",2101,"70",5487,"child",100,100
"w922820",5,"JOL Version A","BABY","CHILD","Study1","S",5014,"75",11213,"tiny human",13.333333333333,0
"W970517",5,"JOL Version A","BABY","CHILD","Study1","S",3119,"100",3637,"Chils",80,100
"w10010080YS",5,"JOL Version A","BALL","RACKET","Study1","B",7326,"65",9451,"catcher ",30.769230769231,0
"w10024584",5,"JOL Version A","BALL","RACKET","Study1","B",2260,"100",2772,"round",18.181818181818,0
"w10033288",5,"JOL Version A","BALL","RACKET","Study1","B",2820,"34",4314,"RED",44.444444444444,0
